,Employee_ID,Employee_Name,Age,Gender, MaritalStatus,Hire Date,Department,Position,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,Annual_Income,RelationshipSatisfaction,Working_hrs_perday,TotalWorkingYearsexperience,TrainingTimeinmonths,WorkLifeBalance,Behaviourial_Competence,OntimeDelivery,TicketSolvingManagements,Project_evlaution,Working_from_home,Psycho-social_indicators,overtime,PercentSalaryHike,Netconnectivity,PerformanceRating
0,1000,Jessica Myers,21,Female,Single,03-05-2018,Sales,Sales Executive,Marketing,Medium,high,5,High,6,High,10,5,3,Better,In-adequate,Good,satistfactory,5,Yes,Outstanding,1,12,Good,good
1,1001,Stephen Lee,34,Female,Divorsed,09-04-2008,Sales,Sales Executive,Marketing,Very_High,Medium,5,High,25,Low,10,22,5,Better,Excellent,Good,satistfactory,9,Yes,Excellent,0,9,Good,good
2,1002,Lauren Rodriguez,60,male,Single,27-06-2009,,Developer,Life Sciences,Medium,Very_High,3,Very_High,25,High,9,24,5,Good,In-adequate,Excellent,good,5,Yes,Outstanding,0,10,Good,Excellent
3,1003,Tyler Kelly,56,male,Married,22-05-2001,Human Resources,Manager,Human Resources,High,High,5,High,22,High,10,19,4,Good,poor,Excellent,good,13,No,Outstanding,0,12,Poor,Excellent
4,1004,Tammy Gaines,39,Female,Married,13-02-1999,Sales,Sales Executive,Marketing,High,High,4,Medium,25,Medium,9,22,6,Best,good,Satisfactory,fair,11,Yes,Outstanding,0,15,Good,low
5,1005,Tracy Rodriguez,23,male,Single,05-07-2005,Sales,Sales Representative,Marketing,Medium,High,1,High,12,Very_High,8,10,4,Good,good,Good,satistfactory,6,Yes,Excellent,0,5,Good,good
6,1006,Patricia Wright,21,Female,Single,31-10-2011,Sales,Sales Executive,Medical,Medium,Very_High,2,Low,22,Very_High,8,20,1,Better,good,Outstanding,good,14,Yes,good,0,16,Good,Outstanding
7,1007,Rebecca Combs,43,male,Single,11-11-2016,Sales,Sales Executive,Marketing,Very_High,High,5,Medium,22,Very_High,8,18,1,Better,In-adequate,Outstanding,fair,7,No,low,1,10,Poor,Outstanding
8,1008,Melissa Wilson,59,male,Single,11-02-2014,Development,Developer,Life Sciences,High,Low,5,Low,22,Very_High,9,17,5,Better,Excellent,Outstanding,satistfactory,12,yes,good,0,16,Good,Outstanding
9,1009,John Johnson,31,Female,Married,17-05-2008,Human Resources,Human Resources,Human Resources,High,Low,5,Medium,25,High,8,24,6,Better,good,Outstanding,Excellent,14,No,good,0,12,Poor,Outstanding
10,1010,Robert Fritz,51,male,Married,18-06-2018,Sales,Sales Representative,Marketing,Very_High,High,4,Very_High,22,High,10,18,6,Bad,Verygood,Good,satistfactory,13,Yes,Excellent,0,9,Good,good
11,1011,David Robinson,28,Female,Married,02-03-2017,Sales,Manager,Marketing,Very_High,Medium,5,Medium,22,Medium,9,17,2,Bad,Satisfactory,Excellent,good,5,No,good,1,12,Poor,Excellent
12,1012,Wanda Richardson,40,Female,Divorsed,28-01-2006,Sales,Sales Executive,Medical,Very_High,High,4,Low,22,High,8,20,3,Good,Satisfactory,Good,satistfactory,10,Yes,good,1,14,Good,good
13,1013,Linda Underwood,31,male,Divorsed,24-11-2007,Sales,Sales Representative,Technical Degree,Medium,Low,1,High,40,Low,8,10,1,Good,In-adequate,Outstanding,Excellent,11,Yes,low,1,16,Good,Outstanding
14,1014,Timothy Nunez,25,male,Married,06-05-2004,Development,Developer,Life Sciences,Medium,Low,5,Very_High,6,High,10,1,4,Best,Satisfactory,Good,Excellent,8,Yes,Excellent,0,1,Good,good
15,1015,Derek Allen,21,Female,Single,25-02-2017,Sales,Sales Executive,Other,Very_High,Medium,4,Low,12,Low,9,6,2,Good,good,Satisfactory,satistfactory,7,Yes,low,0,14,Good,low
